	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Right_Ventricle	3.05269429126786	2.94084245306845	2.7834967158950246	2.45457002484844	2.39803167105504	2.511447902948005	2.7265116612705	1.944078310210815	3.13066135462777	1.795990632488955		2.42136103904122	2.57721105494716	2.4733405001041797	2.6426946032910896	2.55233892412665	3.4949117872579403	1.8197796214574298	1.816125833440285	1.82254233104973	1.79225555816905	1.78514652694244	1.8417239752201002	1.89123403566667	2.18721317999726	2.1187344767456002	2.056968576509695	1.9687498987820802	2.12637371270929	1.96833946818009	2.06963403607444	1.95240207547185	2.388291777763105	2.56037747855973
Kidney	2.82286415198044	2.63322797149667	2.583565168746115	2.14986601406732	2.08082022722746	2.1256531527630447	2.44980807285092	2.0794694484729703	1.97288501425937	2.01339328445832	1.98169760881684		2.2406812249247	2.35064278542098	2.3855276546880253	2.2955029101649402	3.27087550529502	1.9723058829566598	1.9715198973277148	1.9774169164201298	1.90817070780922	1.94832171317536	1.924345216673855	2.22918043658721	2.11366361469193	1.9989594842633798	2.06358240109992	1.94011122285624	2.082421210515165	1.955516941534605	1.964698819473965	1.9694171511779253	2.08566513190137	2.17419952830846
Lung	2.76261941913905	2.6940512640642593	2.453782396172735	2.04732179951927	2.166601204315715	2.05967516545739	2.4660772195197	2.03087082744216	1.99649299689536	2.033892866460495	1.9905925499161499	2.14869771775966		1.7488396465195448	2.3608316793417146	2.24317532904186	3.05400902707873	1.83569263187151	1.861474059923615	1.847586389125915	1.8165645050802801	1.8574900978874	1.85955498861134	2.01835619716883	2.106845149854485	2.05861103494234	1.96949338446195	1.98394381904333	2.01418962276557	2.003709342936235	2.0091576110027347	2.00763204670421	1.9821370014025548	2.03577817992273
Spleen	2.78515282630136	2.7161687992730403	2.61909312286851	2.2125451838261947	2.31674689317465	2.2951109566605	2.71062586761957	2.16026630573739	2.1082455673963647	2.1579592396671403	2.1107682134448402	2.31153424987511	2.40125634253167		2.54381072515656	2.4890814639689847	3.162888578283485	2.076741093162375	2.0708217460149	2.04327073662883	2.08140201521331	2.081511219118545	2.0857820523535198	2.13186231082345	2.2442630588433103	2.168664559838045	2.119127765422275	2.07821929920687	2.163277392741	2.13507454619901	2.13998546900327	2.1323885035855152	2.17347012502122	2.2837800757435547
Ovary	2.6490002785095954	2.482899008181605	2.2394444790492205	2.249116749326925	2.2178820320808397	2.34126553681454	2.4985092591763696	2.080424702580685	1.94272686233052	1.9747822696769	1.9363105522486002	2.18850037123654	2.2948783789126	2.4062446698853197		2.373547374034625	2.8367349514884	1.83996468778284	1.8223834955257	1.7485652230220547	1.79798984567673	1.91372380580761	1.9564831077727498	2.19993936605763	2.17067730291587	2.0991199434474197	2.084574445940815	1.98307851450832	2.04177338889751	1.98773353790772	2.0264685491764	2.01985078146861	1.887062292822825	1.94292120057243
Uterus	2.7291736315213995	2.62312591762048	2.48951811780493	2.3798716294380804	2.29015095177727	2.3964804226114502	2.55372157936061	2.1049146936801297	1.9604546771262101	1.98693782768307	1.964654978817465	2.174461059872205	2.6241599015155	2.61304896214582	2.709532437508095		3.1108684012553445	1.994141546154905	1.9326098695966798	1.8480426656663	1.9305716973352098	2.014149781090655	2.05845890219909	2.2605843073905802	2.183049724783885	2.16534701019664	2.11014806700371	2.0001696420865	2.103349564414515	2.027528242048575	2.03849558685221	2.0173845623469	1.975156566678	2.0186568289275852
Testis	2.2795216663227205	2.1532711648406897	2.1872236022403	2.17554547724695	2.2110849728337203	2.1883300361360702	2.1773809051898403	2.0383738166564003	2.06400782723336	2.0816817945252	2.06253702981895	2.0316239193798	2.19337141088188	2.13415199407617	1.9809312099989098	1.995978016372495		2.069789748277185	2.03210901066736	2.036017420613235	2.01647670697356	2.10686640340602	2.05697078653779	2.0369103240731	2.1391527268147	2.08707859038508	2.06996897914074	2.0735217143437303	2.09404246081177	2.0965999422392	2.0580540062162456	2.09364608321356	2.225300843043	2.191252683548035
ASA	3.05513640154812	2.9045927701971	2.60127765819865	2.6459129464448448	2.2587627234619103	2.648748534998335	3.15038656620167	2.096253644710135	1.971860891478995	2.18529645080307	1.9926122602600151	2.42411293572567	2.6725456032837798	2.58567656001319	3.2689375539375902	3.270530178446175	3.5303167602251797		3.97297047905359	2.00767663567083	2.32906269734495	2.26547835021772	2.342176705661755	2.8085166882583703	2.1246874490508647	1.975159072484445	1.934836378924735	1.9175913669030402	2.01477295134824	1.895131946907845	1.98828553989672	1.91958529647129	2.2775672991108302	2.50445089236737
ILB	3.14096727210826	2.97952115730032	2.69115617680198	2.68987760269043	2.3267458703029402	2.6872161147601896	2.94945199910939	2.185059472507755	2.016985528585575	2.2276936543756203	2.0403261531034698	2.4459910478467948	2.7214505531784803	2.6463085173640497	2.979546949407685	2.95304199090141	3.55686149822455	6.435416028402385			2.19137625775961	2.26170621714364	3.37973040000836	2.73354961050633	2.239621309653895	2.09080667580802	2.009651986494215	1.9229605048114051	2.073233334893385	1.91639266475512	2.035494065492585	1.9640046509707498	2.157814117691455	2.38822283477733
ULB	3.04126088461423	2.8462241403535753	2.595946846990815	2.56071386386138	2.2241389258480604	2.56194827580996	2.920276323733845	2.06758641786625	1.931497290928505	2.19106306775907	1.94788656956362	2.3502068195262997	2.659826434764985	2.5271079787634703	2.8381532779020096	2.707569082082055	3.525380414057955	1.79226709788214	1.27302407645727		2.054870209573715	1.99285541196242	2.5270964485074296	2.5304297305024503	2.09495151660585	1.9863568424763798	1.891146253933	1.8494714896731999	1.9690515469206649	1.87010662732445	1.9617997920969898	1.91414623582018	2.13312069912162	2.386443479918565
GOM	2.8810268329354196	2.704956498320225	2.47526769611443	2.27394187753492	2.08622272897394	2.290572101323985	2.6929754658308296	2.003168939999885	1.925688815712735	2.08613945203898	1.9595352858690198	2.21012444935203	2.28656538947326	2.26317356185362	2.73249607696828	2.6429380533869304	3.36654133991253	1.84723060016829	1.9010531395770902	1.84598075829166		2.21069094971062	2.18925619333606	2.35676085695845	2.08814444055852	1.9571618118342302	1.906231832281775	1.8618577737117699	1.98555858265138	1.868486930661765	1.9429745060063401	1.9078798670393797	2.093981648749105	2.21820830888778
