	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
TB-LA_forelimb	1.7728214533742	1.78235614625354	4.34542852697641	2.6374983365803453	2.070259519069205	2.7843810597506296	1.87498821455482	2.031511346588245	2.3862695526729647	3.7939708782339	1.68541662997049	2.0665327129091	0	1.41422827659603	0.0	3.4547154747865503	2.35084747379915	1.538046287518565	2.975434404430005	1.69244569424418	2.47680816822948	1.9519179152564952	1.76059179319585	2.22092262938388	3.95555679024248	2.34165347942869	1.9185132781831096	3.5492507928517	1.713946368379605	2.69398723898658	3.12129944354352	2.81514953226911	1.90184049555614	1.9068795895614696	4.91316242947414	2.619590009474305	2.176379823146465	5.241224943671591	2.66410746834822	6.12419581088848	1.4585451449548603	3.94212613560179	3.45269007448412	2.53023860549299	3.09051425038742	5.42620055193843	4.335607391010545	2.0397499220340403	1.84175492757702	1.9160757085588205	1.8808408307421398
TB-LO_forelimb	1.7811218052355549	1.5173244372836299	3.9305516211117695	1.56980777754832	1.962864956872985	2.58214586118778	2.7017561515975803	2.2042176414667405	2.0829018595770696	2.7885863011106	1.4828611676065	2.5571211232122097	6.20000131771927	0	0.0	3.64102270151801	3.5336881327547003	1.55243582327852	1.82882855682375	1.6379048673752499	2.64650024570034	2.035044472379215	1.5817657690454	1.98822371479422	4.0345181795518545	1.76654013344983	1.59481157060628	3.0877200952065897	1.41764384283802	2.678322384192615	2.41378207554254	2.36873815127223	2.26241545838551	1.7546555815761	2.25912902010253	2.4135871734603302	1.5385875517792198	5.9457782963257815	2.50370898510818	2.90744214549232	1.42254757677721	1.6995819403637102	2.9912680066323003	2.856387258522255	1.8228228113235296	7.345163333781482	3.65895565197792	1.95455511038774	1.72749059528417	1.88587594989758	1.72985173773267
TB-M_forelimb	1.84342261727705	1.85017063208882	3.08344436694192	1.5510507819512502	1.6599093201082802	2.0370206481711297	1.6244860331377	2.20158900583408	1.9252759660915448	0.0	2.61198825682534	2.14489909876297	2.1638775856532995	0.0	0	4.16242299932499	2.98052835984552	1.623173329429925	2.022295353119085	1.60357872176984	2.29377898800159	1.8672994067866249	2.01019113515075	1.75266741025497	4.11818084338248	3.00552273868895	1.93512439569281	2.5272206252685	3.29328338498942	2.4646779780540253	2.7514235239441653	2.5761824531221	3.979116809512045	2.104468145589905	4.924994623392106	1.64707603973203	4.094343592326346	5.006700196551925	2.535857488866565	5.45605636601929	1.575810579690015	4.7888921658317445	3.10399706408785	1.8677293873273249	5.74356282867368	4.19094041873689	5.106625125304424	2.072960345177115	1.8557458671254297	1.93984298673951	1.8702355513314852
TM_forelimb	1.74098067609923	1.6823381974755	2.50067031232141	1.5234419577219098	1.70131594382383	1.98613042314366	1.5605560454017748	2.067691794310095	1.73276766068385	2.7931040970618497	0.0	7.6899851396524594	2.09484298035102	3.17227974869619	2.662545698702535	0	3.6708033061481298	1.53228295650563	1.7593820062506298	1.4107561500661	2.01854921064876	1.6625573244690448	1.58697773399463	1.7311329176212298	4.38596099663516	2.0828098453455097	1.6557971086038998	1.951668777862505	2.09700496307198	2.11651389777843	2.3563597643888903	2.4363909133101003	1.93538183871218	1.82617509333241	1.7400786475388899	1.57263736284777	1.42297379696672	5.99603438984215	3.03657756907484	2.465301788242415	1.39657799050235	1.6939633864843149	2.7008764360482846	1.61092776327439	5.6627985227879405	6.273973654751849	4.882324622611018	2.032340424297355	1.75941381965743	1.89088818021258	1.78390627740852
BRA_trunk	1.9855948717928504	1.5825223907819297	2.42544273815685	3.68316459566144	3.860889438919525	1.8452385978998351	2.03178186827023	1.94795090770318	2.3320382488538303	1.5997011025419252	1.63126724268746	2.63552988768463	2.3702827308430097	2.10223898104924	1.78525504459789	3.12090846346695	0	2.4485993876488	2.0236483838701003	2.432757412662875	2.2128140117279704	2.16887791642331	1.5964790711104098	1.98345976099288	1.67331231443277	2.0482316722046248	1.9955441497837099	2.12150554159633	1.6729686374891348	2.207661626055235	2.37326599243326	2.05305361276384	2.03344566911418	1.89166597773335	1.63225049523483	2.19236385559139	1.5993036164819598	2.5138052843851053	2.3884317889214897	2.0175675450239496	1.37863717219176	2.0466236772417647	3.177871824886995	2.41174018078452	1.79467460987226	1.74577738457366	2.6193496029529246	2.04549894530662	1.7623520286634953	1.920041051464405	1.7850656772646598
LD_trunk	1.92484935525991	1.6032454105385652	3.018987653859325	3.4124071713656603	3.61993882490704	3.0709293324064797	2.56297561168318	2.8643961133304	2.3788964993336896	3.9394350258873	1.7780982719047649	2.4341252791553103	1.84957061538065	1.557012107365915	1.91120481268071	4.5349328858453495	2.502745130313325	0	2.4691513016963453	2.5079575952053053	5.166527119365366	1.631931197546955	1.57220217639402	3.1201028643930453	4.954097847455325	2.36082630918846	1.70650808669858	3.26333491655825	1.9202852874020901	2.586159870899815	3.103544308271815	2.9466273775505956	2.06046097782878	2.09952645527676	3.7614848822987	3.32555742831528	2.06784275591718	4.3839124044549616	2.45732594371629	4.35243301824751	1.712689975505175	2.9531495900998754	4.1734100575896	2.7602837003781002	2.92850097170825	3.6344092225264095	2.46932897138797	2.07651999070215	1.8291923908961496	1.9515884075812853	1.87394660169595
LDM_trunk	1.90248295292133	1.7176606690519751	2.31988844270032	2.0576016185032	2.42866428043278	2.257160550766115	1.9010067231725296	2.3196277382791948	2.43535200623796	1.94173641788768	1.7420373072458402	1.787494944992305	3.4798012703889305	2.6453918212653704	2.0458180275478552	1.88325419746918	2.5267172597948346	2.09356124589502	0	1.76390272806087	2.5181258627160004	4.20977414139047	1.8746895736689049	2.13056666156326	2.53161479221128	1.7446458348827651	2.71599743828019	2.2775154107011297	1.554462017198875	2.0153625113643403	3.0871433061878104	2.472671126854065	2.045818042086065	1.89383416065104	4.5085484884649345	2.07882691736101	1.51037987968045	3.9452923246953655	2.31037572598926	4.4757482375045985	1.40292016318762	2.19062359514148	3.18018416610298	1.9248218486372	1.674841159312	2.470697831118125	2.08628593555251	2.1729106430268703	1.8090649722119252	1.927077371040625	1.87676701683622
OEA_trunk	2.1087464752233447	1.70105033007076	2.44734661144666	2.95697639547444	3.90669365153889	3.2997811453890846	2.8664292185965596	3.61669882612095	2.4737878010657357	3.25971732678442	2.06356418017356	2.8465946504536803	2.7168252476333903	2.1367010434163247	1.7215368896641299	3.68191623383331	3.834802898332575	2.5280137471122046	1.7391271635295098	0	3.7826202566707	2.19593325725055	1.4632032608291	1.9820223456269	3.7667310461235	2.09868649557087	2.27199139801779	2.73649772340539	2.09319574830923	2.54437806389306	2.2645017154180147	2.48755434602087	2.59082100927773	2.17785372531966	2.0445952735354753	2.78679065096829	1.6664390691736852	3.0168689757301004	2.61764932975892	2.2259972408779403	1.41523058596861	2.2127064660220497	2.8698992538323504	2.4703299173798703	2.22720202512225	2.075818591527875	2.31017408686442	2.1183538774187	1.88401361736356	1.9606368200764999	1.93837165772534
PP_trunk	2.0322051296405603	1.5587384721935502	2.60352660739424	4.64564401805604	5.7536344084070565	2.4680769697486453	2.597248228165185	3.167424532427185	2.63986359003741	0.0	1.6342181499434552	3.70473406883448	2.20728133362786	1.64721147985864	1.45235219680583	4.34686760019704	1.96720955662018	1.9096579800861548	1.8791910410981096	2.22836606903742	0	1.72345972050702	1.87412043828442	3.8489204756793303	0.0	3.4356714532385557	2.28198918212991	6.14940091357407	2.05257624915906	1.83852686021298	2.9379814466702845	3.797282953382665	1.65976783330931	2.2296843663722603	1.57109395828139	2.326089427923705	1.7180224251349152	4.49849133248676	1.9972687316484297	2.96223984185543	1.34276612131269	4.20986140641332	1.95759627775999	3.22524224505165	2.1181070848316503	1.31855893411958	2.14949296830997	2.00929294780627	1.72110781096697	1.88346059105327	1.7487775972165098
PS_trunk	1.9042610757481202	1.60955587247798	3.3541476560133248	2.97738239331054	2.25342665018506	2.7551085316755004	1.9482637187556249	2.62730395421735	2.36969626600297	2.42158715340133	1.58707122961413	1.71979251593318	2.180787610912469	1.6974843948788498	2.24742691538954	1.925468050689585	3.2022854523939603	2.28396528495767	3.04559266975208	2.3939936464057996	3.24195578010943	0	1.69479310765629	3.42119700227229	4.02806258283732	1.89825264768032	2.35572423586591	3.43844765990538	1.52193853378685	2.4964639497099697	3.3679310261400897	3.04020404645661	2.2205640914637796	1.8804727708966202	5.676568983838661	3.3340276669401003	1.6646245466273502	4.503514235490865	2.3378819451206403	5.69665005364675	1.35192374741475	2.9410838864229545	3.6529650006003256	2.35160569857458	2.12062653080792	2.2293133215634753	2.18881111627031	2.02219630270196	1.7723774302663449	1.92932929016743	1.8038953857374298
RA_trunk	1.75280267233534	1.64477200706893	2.0376722861224303	1.77484033169786	1.56461244549705	1.57382872835112	1.5044602771399205	1.5815630967864702	1.76773712045452	1.626093277296975	1.75077548330163	1.7188288822847102	1.61879830996544	1.4765288920554205	1.5391461733252	1.54955741068822	1.67945678035659	1.50521756637187	1.63191114563995	1.404135999483635	1.8403030078739653	1.5109414054858852	0	1.7331568907409098	1.4525654528132348	1.6666665238486498	1.48483343556457	1.9102486786053297	1.40997877733638	1.6488954533629303	2.05251009753465	1.95985117037472	1.69458590481951	1.6587452380570802	1.4490020330266002	1.57586925242526	1.33701353993423	1.4885570267551398	1.4341961472864	1.51174369903471	1.42500472651803	1.532336774948155	1.51231711101928	1.68442455261918	1.5257058455886052	1.4654000696171798	1.662736160507865	2.02893766608292	1.81539916411228	1.8619447060172	1.8505005629970497
RHO_trunk	2.0240426402433447	1.558112661178925	4.19734276124677	3.67116612098699	2.388648669007745	3.13805215285317	2.6084786980603303	3.3753087407833147	2.6704897996056447	2.37178926979561	1.486144617028535	3.21507797458224	1.93117021770127	2.48031771325431	1.70544254519012	4.33286550794696	6.019441459811839	4.175021257099607	1.9536568297560304	2.36940787902752	5.966551432238894	1.65467402984593	1.8596174101752296	0	1.6618471793405405	2.74060602149852	1.93037756725649	3.54917108353556	1.73616499225536	2.99602425674491	3.8452080992631297	3.8260774149057597	2.2738547020803503	2.52711870699094	2.296583882497675	3.84230883852607	1.56993360884127	4.6064071797304855	2.06642029202465	3.19137165663065	1.41622743923474	2.32540284340278	2.2179081040592896	3.2161502541100604	2.28082162207469	2.25918010876445	2.4099614182719447	2.05533467548147	1.80248212551198	1.99327236218738	1.84366710510623
SP_trunk	1.67357454019967	1.5445503769021	2.646825906232475	2.5061795197877146	2.4701409856725296	2.2521064933272	1.50771446036926	2.16562035914814	1.7793453715118102	4.813748443888295	1.74960864100539	1.9087508949424696	3.8835678042549	3.11405862552528	7.37945436031319	6.68877856940578	2.153614438954325	1.52571147378087	2.89567440434259	1.6495271204978952	2.75952843673682	2.061893198965095	1.62689192269229	1.9091615259158	0	1.6189919147645802	2.67589202797386	2.401204713567335	2.53674352410766	1.7524878862443798	2.25336451127231	2.4809500241984948	2.24324689686392	1.65716087217917	3.0684343780340253	1.88245445856838	1.50350582722853	4.426925043338816	2.47614630863456	2.48345699518764	1.3089507113474652	2.74282299113848	2.85740699741976	1.516854244789275	2.7494053197159505	3.12702224609534	2.83004302908853	1.9532796136920896	1.73008317256041	1.8684908628531052	1.76866410750619
TA_trunk	1.97893087216218	1.95359644339885	3.083702947401725	3.1854053428243305	3.706514370519376	3.4776502079356506	2.74404019008412	4.043114976465935	2.9255392492588195	3.51909269225556	2.46618176257429	2.6203178337305753	2.5916199791267447	2.71312692028491	1.6617645486104	3.999111420563505	3.5174982816066995	2.8721754880518753	2.09174818415005	3.4326494512633445	3.7641194043386297	2.02500394842204	1.83164386027322	3.7884918690405542	3.831047670791915	0	2.362374368362545	3.19565868489944	2.3640567861432404	2.78289610794257	2.6417334914834703	2.68001641707665	2.60032978766252	2.1340911163743	1.7741514417720352	3.26466183978994	1.68217505859809	3.7290610963960846	2.8985643074639	2.7399792614052796	1.5322318597184097	3.16154252856372	2.77608656630782	2.42251295814768	2.62548766702764	2.78452923890015	2.865957207904445	2.104244392430195	1.8370409715422351	1.9602781905809599	1.93523388879192
TRC_trunk	1.95583295138388	1.91809673172087	3.610857326191781	3.296823490166965	5.423474739296888	2.7292344640778654	1.8961507961854955	2.7975258069663	2.48807515349064	4.055990182861556	2.18573154922996	1.69682556191239	6.0492951629512	2.06186238547693	4.459329314578615	4.38237802871862	2.1616990678184	3.81826626972602	4.97719724529716	1.47744399563453	6.23668126138746	6.336310412103384	1.5455623584158047	2.432329203792655	6.24628293649127	4.67171503798032	0	3.66063647241364	3.1058207450409947	2.4280409356255297	3.4015724811126957	3.257027324181015	2.53026383448685	2.07936330532734	7.288765007923058	3.01061045550731	2.3727901935681097	4.58099882564287	2.37622966358352	7.50172696402462	1.515934672816805	5.78026312850624	3.2562033400367145	2.376011823487945	3.2962501667925204	4.62814246010683	2.57529930386978	2.08865663625205	1.86543601804728	2.0223153248757	1.912790815468815
ADD_hindlimb	1.74070025710939	1.53648835025341	2.007100727433275	1.6953541112298798	1.886547663417705	2.40075449862235	2.218147050281795	2.47143637684505	1.824360660359295	2.774752023730765	1.690645467918165	2.04986430665323	3.82765331643725	1.5540269716251105	0.0	3.2824557920394044	2.2326748692416	1.77141666819248	2.06097966859944	1.55948586914493	2.5301770021437404	1.8472507966916851	1.71303534201539	1.9498856000876752	1.83155510316518	1.7087996568568602	1.92858104888774	0	0.0	2.170896694615035	2.83960815937192	2.6582168268915654	1.4903722507749502	1.69818847098252	2.19052697680621	1.47111844051818	1.4024245209999648	1.31550982107094	2.5870172252490096	1.8949585912638751	1.3570896767363403	1.9902588334346296	2.50986714368767	1.8681587052822748	2.6090140372735497	0.0	0.0	1.919045101990285	1.6848706673511398	1.83646397465975	1.71581474971936
BF_hindlimb	2.0069890092089353	1.61987081033055	2.83810865913752	1.7481547957023895	1.8217064572395647	2.5193190690132403	2.01687239460946	2.31792582763143	2.2983789922446247	2.52441673510468	2.2244524842949	1.74768254418225	3.1331391418974	1.42655980147853	1.787345975279175	2.5633905761422597	1.9779050725073648	1.9355008991924	1.8431135071071398	1.65364624090846	2.4634076014934645	1.8036636123095	1.7377321396231598	2.34401229539819	3.4131018965874795	1.7897426284617002	1.94099354519973	0.0	0	1.80542139015281	3.05280075646032	3.08701521832685	2.343200023619525	2.0486323246595504	1.33883226643433	2.362895435078485	1.507817761230435	3.0756327380955	1.80663387356636	1.5174988729993897	1.4383112042919202	2.13097780316061	1.6094930438303552	2.30120278981705	2.6261817094557847	1.53298506069543	2.8293507438546195	1.9881132624498998	1.7783621947175905	1.8997626596686148	1.815482851025145
EDL-H_hindlimb	1.62609568131575	1.50859733243657	1.90899861651302	1.71141990754295	1.8361374824970902	1.8327903744528504	3.02068712847138	3.09315350259476	1.58786222692119	1.87775507340366	1.6002189970565148	1.7227703662251248	1.897814702588235	1.8178981032626496	1.9032080380655605	1.81490434476007	2.12994647272324	1.75405074051705	1.91276370768949	1.64798903370964	1.98628341563208	1.7285736595706105	1.71376135990299	1.88660470546312	1.6421596890488797	1.7427854744208602	1.876916665002825	1.9466372035898496	1.66463028162974	0	2.2989225520572902	2.18589874807936	1.78109210248865	1.67862695313141	1.7439305985892002	1.6499720822530897	1.45573612037164	1.9793534576336005	1.8636683042765	1.54229671086018	1.328255528574985	1.61749590028339	2.01936693394683	3.11918054180586	1.7401649714406202	1.779798665348785	2.18712755732818	1.9264517188718904	1.75295184342823	1.84274406187099	1.7828367897874495
FDP-H_hindlimb	2.269768880578395	1.960577633154375	2.62008009415311	2.05248161808064	2.2460354916583505	0.0	2.1066159088602747	2.21849803365133	2.43115812567458	2.2261667623618395	1.8225436609869798	2.35145591185176	2.17593460926788	2.14862062073394	2.2478997495178703	2.2175625371435754	2.3587586153875755	2.29713374331041	2.58740099504238	1.62476681014188	2.99133601901662	2.3244483106497995	1.7872908433921901	2.71768777764993	1.94346058672259	1.815120767393215	2.2750394512248	2.59952597254187	2.23572691203915	2.3752693689029503	0	0.0	2.1055799731884597	3.31799692310476	1.7472385648753899	2.2856874854893254	1.5564743289094298	2.93444637094231	2.12590484900187	1.749454562451995	1.26951346758752	2.0405511688322946	2.14197067183932	1.94301057443479	2.3026838675405097	2.1442834394042154	2.51937305555113	2.0515906525917154	1.6206612678009051	1.70529477570276	1.61530854986078
FDS-H_hindlimb	1.8614298326901104	1.46587734576887	2.058457227650735	1.9763853907523101	2.05209907076888	1.7865930727471298	3.5536883416853198	3.44855991251986	2.213410392416925	1.7337416084599098	1.60586948712662	1.9305686376900448	1.80553187857046	1.86158303229748	1.56956920586671	2.51285248302804	2.2275468632843958	2.024979053741045	1.9343622475977096	1.83025610738656	2.52691220817092	1.7590117243565802	1.64002501209602	2.38624857061567	1.86406264281568	1.8696400278251002	2.0873551635259604	2.05464242344159	1.87159830953925	2.740977603487585	0.0	0	1.53801027311229	2.57508236465169	1.3871094839374	1.955011313771005	1.4256565722312098	2.1806416495225953	2.1782724342037403	1.5447096543034549	1.2737312286201898	1.7456234575205	1.8037720201080951	2.52397408984475	1.9604166768817448	1.45454075488116	2.56706285876389	1.92681097903854	1.7157954695731599	1.8449751181322949	1.74199419648747
