	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Right_Ventricle	4.727652095629031	4.73399422146909	4.51318197745183	5.02049488594684	4.373752363374265	4.65684187564239	4.7109375754999805	0	0	0		5.775277561697941	4.6674699426068	3.5801516127889053	4.66964984051471	5.875372622291571	6.03071469911295	4.2338641130027	3.34708559653023	3.698987730706275	7.52987264263683	4.57661068573014	4.24708726426071	0	8.885907203234815	8.28470224877867	6.64025134090806	6.244867664660751	7.432701875474925	6.606544858086945	6.3658600731598	6.754447257014185	5.378395443659494	5.553646240058315
Kidney	5.42540415927516	6.091620201649301	4.56541348963246	3.1373474779827353	3.776746056315555	3.2702543894956295	3.08159358635486	4.18067373323428	4.64490803457036	4.8969399228444805	5.3445609229314295		3.6031104358262205	2.8310280700957597	3.45779482328453	3.4793206061506896	5.93155335215011	3.53082078838939	2.78587029613339	3.06338188891747	6.42391223008219	3.74694595355996	3.60367937050865	3.91759188587789	3.641950914321905	4.55364155492658	6.38619987967556	6.3233679428034	6.83992953587767	5.152164106542175	6.60981808732795	6.46344411724186	5.28970060992128	5.3728627063193395
Lung	5.78142139746584	6.99979296594638	5.49169561516417	3.3091543306150903	4.200114808921141	3.5371821115617696	3.620239070786475	3.8770682225636297	4.4941013856964105	4.90563509495585	4.631079816450675	6.01517957650074		3.95746377112769	4.80588388356209	4.62486338811606	6.2485549770708495	4.796131284762519	2.91404359455377	3.2092802712044	3.8998287215284	6.529046130095056	4.32156803870175	4.47264294860115	5.24445442894001	5.1477025024451795	6.681102351149041	5.6184681277796855	6.600773872082145	5.245864439651425	5.699378454725095	5.966126143433099	5.16308910281084	5.33338043840116
Spleen	5.3371640451025195	5.19183252885414	4.562417801027475	6.407768822856309	3.8532372761783797	5.57793358375981	3.9373095876398	3.95799766640935	3.402292761563505	4.315440407018659	3.2901892656463954	6.388189560758951	4.639661474902136		4.15409193252195	5.667052136245825	6.3615977647668345	3.4675003003360296	2.71297779692788	3.94863912877208	3.64441715959744	3.33407637027125	3.56384838832214	3.4082586031736497	4.57271753241244	5.4309807311967	6.32954000482116	3.9905280088012502	5.3854066811213395	4.764606164146115	5.66347388547179	5.54371785363446	5.3810434121787	5.33969542089254
Ovary	4.9814931498624	4.86963579281665	3.78432835715579	3.2062187450497004	3.1134502335684	3.37521562307747	2.88477090256982	5.37152824358978	5.44011816221775	6.596619365053611	3.5731755727930294	3.25742880930499	2.81832598564731	2.2470556958589345		4.38199259408405	6.0103916087219	4.198464154596491	2.64867854463151	4.271631660403875	3.49666409832705	3.5277263656501	4.614889128795454	8.30952944267554	5.729434985778265	5.89616261183745	7.78004753263734	5.74458464322038	6.4343069152678005	6.02435168529319	7.014249650142601	5.613373240589844	5.35822649993653	5.78935858495995
Uterus	4.85591718868488	4.7821509832939695	4.41860970565935	3.20005853487606	3.2576741118581003	2.662863710776945	2.41192680628692	4.8836618722690055	3.4683078662424998	5.85428900307063	4.275090536937054	2.58974933534346	2.8671919991488397	2.6449191893622297	6.3520748581335145		5.70885038264099	7.76554533233887	2.9793712568285002	3.3227527902493	5.19631949550704	5.095791316191805	4.235781034478325	6.19019705508576	5.789316705584071	4.13091212357173	6.49002874565784	4.6761552631038	5.62270905320181	5.9949113076161655	4.4621075126525	4.57608346751444	5.2590336504940804	5.31086046536759
Testis	5.4790491952715	6.16838772703035	5.1408763768793495	5.088789045638411	4.429329238185765	4.855051006997679	4.5837303181184	4.79630993955193	5.35312193968599	5.97912411775372	5.1458119797316995	5.139072924851066	4.74580523420569	4.149417693341659	5.01795211802961	5.14027367247869		4.5955288914155545	4.6423899870915095	4.581224146725214	5.02061313169769	5.194168967076264	5.3349160712105	5.1673865015639295	4.798306284586165	5.25750355186955	5.7985147693732095	5.38956524470595	5.392730116442195	5.44683757686617	5.3806845580013505	4.80821420172029	5.507775459763255	5.33477774250167
ASA	5.769133833836981	6.16162751168504	4.9955715879784846	5.39260903850595	5.51531098831974	6.4521391258786895	5.1964794384056345	6.69375138519493	6.024502306011005	6.283956435750411	6.55087968708155	6.002124618486009	5.44379101045963	3.56821103051633	10.403436089286801	5.34362252728776	7.564123600977941		10.521135519562801	9.99433440888502	9.889814166507302	11.26656207836875	0	9.959568354753909	7.184310151019305	6.1102723481601	8.29516690223803	7.153041007865905	6.6700701682638	6.672726265420495	6.845416668446631	6.10281852810179	5.6708409467004595	5.721394336190911
ILB	5.1118934936409905	5.066073193316635	4.490041041207055	4.37191842896617	4.59425259301776	4.0116456965552	4.441357813063029	4.812633346123951	4.186126576714161	6.581951195560496	5.408599957997231	5.249273156899	4.5335003183841	3.60006811010875	5.18841856847343	5.518651554691615	6.040095565415816	2.708998101697555		0	4.28215534863173	8.424847662660435	4.51153287517926	9.096846188792151	3.3833296369218	3.558285344530395	6.017086624291401	5.38502771539621	5.70414135826704	5.234831183879741	5.87120481706439	5.6930618679118	5.33592690411985	5.445454104025201
ULB	5.012527695933365	4.90070256158302	5.03301691193181	6.015018156863805	3.904194318237505	6.1237180946287	3.3510543374884554	7.74528176872965	6.402113876694489	6.05057193238873	4.86415065803252	5.828893797169861	5.910663952201361	3.939175168824395	5.874480310950941	6.2277138038292	6.528218910747955	0	0		6.8688026799868105	8.63448348769479	6.28475078590311	13.7688785666049	6.79491038647501	6.363877542126185	7.415605315577096	6.357155086557231	5.48301695906608	5.824234659385516	5.69853325074852	6.33831523804898	5.54834503171651	5.5238074918024
