	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Right_Ventricle	5.49694999820711	5.112442049271361	5.6452172877102695	3.61470751928048	5.509842244706251	3.49531292515616	5.302449468281651	6.227911400872389	0	6.131040791271269		5.4572957374703055	3.5821576385840297	3.0677437788395796	3.0984779513806453	5.768321577428781	5.528312180350586	3.32075313892931	3.2319371609261394	3.180014208854675	2.9032482401507504	3.02518148492609	3.1563606325465647	3.023832833148885	5.85056832475075	4.0603172512456505	3.3261899932785695	3.216762975746005	3.2477006501898353	3.21860547466834	3.4175485321337447	2.86049585217096	6.07762845376242	4.67769134398944
Kidney	5.3890861861315855	5.19329305903951	5.6558198372520305	3.8643627407311003	5.3549042733585095	3.6441565839310894	6.329962091557741	5.70765719773175	5.5262484514277155	5.6190469594292995	5.679142370035085		3.44118570518511	3.2004344055387	3.5822748565096747	5.89371782598293	5.33174680888111	4.4631732903683305	4.30351962369969	3.377600672201485	3.453049848173595	3.6941843855632754	3.7246574840097897	4.111383069528809	5.83259189123234	5.86567231577709	5.204163906806545	5.47293552462783	5.48339764348675	5.17042651649002	5.527918700451879	5.0992625741418305	6.357546949197639	4.793344182138576
Lung	5.3182405560415	5.135853497202245	5.6431603648777	6.13087843952178	5.45836546461664	4.627521761607441	6.89540430985218	5.695165380013111	5.450138196645139	5.591356843944815	5.538464930801265	5.643451296433249		2.785151243918455	4.42380134584281	4.9394203377031705	5.4306144243426395	3.6173990261426496	3.918591673112995	3.53437989160276	3.1303924800329797	3.9120058659223904	3.56615727675922	4.26139273030455	5.8283646691659445	5.41519284379941	5.670702391137951	5.65605759195439	5.09425313366134	4.16554904459812	5.710172717947485	4.0520396948988	6.43388971730778	4.495289730144284
Spleen	5.42137845132007	5.1318009767996395	5.6286547536314595	4.29919605034147	5.548653908601509	6.00807714308908	6.42695506981295	5.70519734779569	5.498658847559001	5.572312945331545	5.61694182638449	5.627988155994	4.08981551285499		4.00387231276627	6.00864232134665	5.5072312374714505	3.4487176575505805	3.9756517465715997	3.35852355508107	3.29965451540833	3.7102076329253397	3.597366091014025	3.96818287814869	5.843620311220371	4.42007551116615	5.62677891748168	5.534534939716016	5.2366751773980855	4.47113725305925	5.56785494818205	4.89448023633903	6.4391761523611395	4.71169037848879
Ovary	5.449742348453105	5.1758513080509	5.77285949483395	5.95723880880646	5.4926952499555	3.9873422229449202	6.76335025152973	5.86233097819347	5.54812353536866	5.696002037693514	5.643277252962821	5.711269430849861	3.77911224698668	3.45476430817895		5.11069433040212	5.51168296834327	3.59126102527958	3.9594734339763598	3.619378042570345	3.40993528673079	4.306081561227986	4.1770507341895	4.29061696523218	5.4561861619165	6.07332158908589	5.91797141068145	4.870614550343156	4.16548926627542	4.280402126598711	4.66122217722781	3.92755303740964	6.29811314491813	4.68196932281662
Uterus	5.520410037340421	5.26387250656009	5.83735966890249	5.867521584736259	5.592895742259969	3.14879406200562	6.365384563126275	5.92883472850484	5.630985040833175	5.83187932388857	5.714667007881651	5.78378424550637	5.896238630070986	3.7360617817077997	2.9272393907923595		5.76235674015455	3.59753027735712	3.97043658080789	3.7446348173251103	3.28863701683133	3.3012188883799345	3.87531903618805	3.9084658288496748	6.1904242169556705	5.28139031507535	5.7862914452633	4.3742513258527795	3.824359119750035	4.129178890581461	4.1463897234827645	3.7213592520627703	6.433189046706651	4.57893193062558
Testis	5.2382263775621505	5.454959121686595	5.56842033985888	3.6758266498210603	5.20274942012853	3.48180650397143	4.3592136940922	5.601331899620215	5.256915580456835	5.38166784789348	5.3897310387580895	5.128529753175224	5.04689614051032	5.129776594855	3.74783669721117	4.9592947501067695		3.557656496071835	3.50979919373086	3.4921085555138296	3.98060840830664	3.82674282981316	3.8405316318140352	3.8368541057625505	5.01101276694183	3.92738297063336	5.44359391657325	5.31398843564573	5.23638317828719	5.26664507958181	5.34603424202632	5.08521757293148	6.08815752213705	6.415505609131321
ASA	5.895804027628754	6.225104628593375	6.4057423664353	6.18629894988133	5.90033027540146	6.3799105178758	6.53118567714445	6.1188567210257006	5.98519758112235	6.196800602125389	6.22196162354175	6.14018349497638	6.48990117808441	3.7151672018246202	5.723455636705364	6.575940273345935	5.90014917554733		0	0	0	0	0	7.4467831075181845	6.120377725235875	6.27699480801339	6.186207138377036	6.16750072933742	6.26945307729196	5.99752503156889	6.29879060370166	6.00475740527851	6.4599990338815	6.93080406076373
ILB	5.55396169722083	5.670527458648849	5.730444854700509	6.025635737652895	5.67130162591713	5.23331237344706	6.44459327095546	6.05633193938349	5.75697622073864	5.84704795134515	5.80137878055621	5.787287102573191	6.098202698522504	3.7621919480703103	4.2173957147836205	6.30767836025041	5.83136760089092	0		0	0	0	0	6.703198948197839	6.076132154018429	6.0888962768714	5.19265891839018	5.925824428241995	4.830170341167645	5.43880878005633	5.039312159684941	3.974496597763375	6.22691516826572	6.55903791386526
ULB	5.440209002100099	5.560860476429241	5.57177127241771	3.6210782692990104	5.51708295175286	5.83795119401899	5.174537703786941	5.7965396937713	5.602270601151195	5.7616704843239095	5.681096802493969	5.606750369262885	5.928378370835951	3.610580599114385	5.961926764869885	5.99916075191512	5.5404699115331395	2.73744377525666	0		0	6.91998277530384	0	6.3803348087096206	5.85085914946425	5.395049517738165	5.80011340822395	5.62032908701783	4.583568614169399	4.1675919420359	5.713681438366901	3.7184302182456	6.42274071588837	6.27633203376122
GOM	5.466641427794699	5.1955000415579295	5.63998479623908	5.88555907699993	5.438815547854475	5.902557413841306	6.37537694863394	5.769755605418769	5.590217371423889	5.73552833687922	5.64359342463511	5.596709562331215	5.930607013413734	3.4480536524297594	5.42566990371697	6.126228723583496	5.576874281861725	2.9938485090347005	0	2.9744898638285298		0	0	6.501725416689691	6.0454069657665395	5.502726220947711	5.873359412768689	5.185684863326285	4.310824712972259	5.067765167632896	4.979195734716019	3.8280990003663904	6.30635237496212	5.6445796908894454
MAD	5.773037818465916	6.00753836211206	6.28703539754915	6.5575360680119905	5.66120463149479	6.57297290019905	6.6768211175703005	6.071058317475389	5.86317669702703	6.01075904156935	5.876650215439639	6.03206485184737	6.53705819522409	5.75122391918864	7.04151677159799	6.40666303745238	5.858933352638849	0	0	0	0		0	7.889911262312865	6.357242186145706	6.22950120062702	6.019269259305671	5.990942104246195	6.12726875421716	5.740223188243459	5.993274957219706	4.786930969136231	6.637265362274669	4.483247288979266
RAD	5.901970232681929	6.118598356685129	6.203532658721629	6.135335956925321	5.97007388816117	6.32211681936656	6.718056135408419	6.134090727699361	6.025736377169886	6.255655438221895	6.142116008196284	6.137229068048019	6.257084732192215	6.07312497298053	4.275704083549395	6.615508713737709	5.895460483230691	0	0	0	0	0		7.42467803406959	6.52248766991719	6.38308011860739	6.16046537416677	5.951782811896759	5.97076127139068	5.97625145941471	6.135678274145429	5.901997259607545	6.6228316868855295	7.116304660925144
PAD	5.82521074748604	5.927450341730401	6.15357938622596	6.103062465824765	5.820142237736549	6.238294510156809	6.68987772064934	3.6816797987787204	2.8980910384950698	3.5638777819497296	2.79921982342127	6.09985458499547	6.141881635473349	3.3693103567991503	6.558383349331596	6.72676913806101	5.84650976001531	7.282816536536389	7.1151667012170305	6.67492547014307	2.36539767383341	0	6.65822841926338		6.24549194653937	5.690684870819299	5.992449018570845	5.755278413878821	4.780180044450175	4.00507502579081	4.69116943200398	3.5379500062672697	6.6730509556410595	7.0333486341223095
LIN	5.7387322125841305	6.078502968899801	6.015602924917509	5.876971602941845	5.80534585902184	5.681027275960551	6.701049084111466	5.98553717611933	5.920608211812611	6.178331066930076	6.078389099985861	5.891270758482991	5.876173422499315	5.75413749511129	5.738966189339565	6.26438802647892	5.68294804834939	3.314776846640915	3.89923243878635	3.43064762237649	5.24478349815806	4.716797066846425	3.62815752704999	4.547181419526		3.39869614499766	3.75410146401772	3.2890572014403054	2.62793063786475	3.02998329391334	3.5848619416703498	2.6108694107248303	6.63959061669593	7.271807083133815
MAS	5.887625108483849	6.1556495910127405	6.25249648211554	6.072059459888299	5.870064514343509	6.10342801645687	6.58394150490307	5.962701817629791	6.07110098390209	6.09515626540374	6.205915364434656	5.932923400120115	6.059082678697361	5.9008952951731	6.169786400770786	6.41941636267476	5.879781872108969	4.057088014362235	4.53263239945354	3.713349830938375	4.654464171497629	5.719441631783194	4.36254327189756	6.383424846844981	7.51372535761618		7.472247685130791	7.04755385717275	0	3.7868238986320453	7.20448997486662	0	6.510058021747009	6.87970335262937
RHO	5.85679719647562	5.892294076916139	5.98824106421556	5.6452571639686795	5.755926670223941	5.97646667140934	6.583520294697549	5.85843187446066	5.82492572485641	6.031774029209769	5.861692506879035	5.84726637187891	5.84421180994674	5.597787915110285	4.320720367768505	6.174911694570495	5.75688950463535	2.711032039953925	3.7598737150588297	2.60188410123557	3.26661291413436	3.4108896769149397	2.98638096101671	6.046520452948549	6.489043758151151	2.9090764550550103		0	0	0	0	0	6.5167969510069	6.67245332646179
TA	5.3529838140807495	5.14803303439917	5.65682185912899	4.51834800524564	5.529239381045414	4.00598781763619	5.32135009335896	5.5561237306212305	5.641461265378615	5.636142059630275	5.654383842963256	5.42963616734998	3.68287414570806	3.8573429665747403	3.71969535646361	5.80538670059636	5.56420068064414	3.638620906287195	3.4327935539737497	3.2420983289825296	3.11003957494656	3.046973188651755	3.1334140477376002	3.182870674954175	5.909048421622744	6.1095968756743595	0		0	0	0	4.539621268392559	6.130246261047191	5.00878812794189
GAS-L	5.44259410760713	5.19984156762498	5.69203660722213	4.01024906838151	5.42445634517043	4.22079081577386	6.094584447615401	5.8206848856379905	5.51448534939026	5.65871969591738	5.5991617042387105	5.49284040651553	3.92105667258673	3.83008153194902	3.710706427132695	5.92345330302718	5.56901153823547	3.24757165655786	3.642922156772885	3.2281581602156098	3.28450800209242	3.5798597364453	3.1619406258742004	4.46142814866986	4.00620434111929	3.97665257278557	0	0		0	0	0	6.1936197086232605	5.6215833466959255
GM	5.397616107903435	5.15595437752353	5.5509206164484155	3.84526557164447	5.479867683424169	4.066928746254255	6.14638798656451	5.677905199305839	5.4713939603238	5.594586348697085	4.89199434048228	5.49375768624172	3.63320824334596	3.725930357795605	3.418321735715645	5.783806794037809	5.50406396388885	3.1351923667072903	3.03590373186868	2.98428411754865	2.80113074451157	3.32880888907523	3.02463080287394	3.53469305830397	4.048760911412565	3.894653369732895	0	6.6689359146322	0		0	0	6.21049868916937	6.226351198320611
PM	5.4643814723362505	5.22684718826097	5.78060952226393	3.920037499990075	5.5382385899429405	4.13493792951665	4.746782464299405	5.56427955235166	5.64721520470368	5.698684152792276	5.72784647409415	5.476562888269635	4.0634164197007	3.7363647170399	3.6391945259655296	6.018343742011391	5.67167310655097	3.4526312062146003	3.51057021198852	3.298400596321975	3.35669888932361	4.0330728982466	3.58484761762203	3.706045115324395	6.598736785119415	0	2.59674061762644	4.8496451341917695	0	0		0	6.1752597508052505	6.20000243669061
SOL	5.419652821136809	5.24739220791145	5.456984619298741	3.9486825878399503	5.358896531377855	4.01976132650323	6.045226399462821	5.64420446801505	4.85493404326785	5.56854076564572	5.5545314084978	5.426547677276445	3.9368211513899602	4.478651477314875	3.7036750085026098	5.898193135057415	5.487083502566009	2.9577428558562797	3.2890711881379198	3.2380449777309304	2.91532508990083	3.54439312192962	3.018817893347105	3.4662724865375596	6.422103805661349	2.38381351045366	3.8519449231464704	3.75754643879745	6.623491257912849	4.0294464239337096	0		6.255090694047261	6.41608436255283
PIEC	7.656828609602716	8.06009542057423	8.305689416737305	7.67562621352854	7.72523399944179	7.74226709282716	8.1380301788037	7.84179392142452	7.67304977562196	7.71941071724341	7.755410079092055	7.71823913204538	7.60751558038435	7.582242110982985	7.62787284165038	7.7833951862572	7.297142215993181	7.18517235103111	7.561849615854889	7.4520752964543195	7.585080886450405	7.80118720941322	7.64854949956236	7.737436179948291	7.748893916515185	7.710727998817125	7.67264077037405	7.552022995603401	7.4983217161915645	7.5468202988065105	7.54265135587707	7.649876605246515		0
PK15	8.234226182098592	8.57972737884067	8.584962405411481	7.93327803709049	7.84427070200528	8.387018805624981	9.04021618411856	8.020473344125804	8.20734039160153	8.27200149715134	8.18648007440722	8.164242416465205	8.25479357736692	8.117924585656048	8.04562365813716	7.974270755454775	8.0759678744992	7.77295804589682	7.9491560257496205	7.84329456625098	7.86873032311284	7.8920157557030794	7.91235495430917	7.96870471787301	8.064285647978021	7.9909277169029105	7.78376189619463	7.700128377517345	7.831661609336059	7.7143938541406705	7.67665934004458	7.887143596802651	7.764174415867861	
