	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Right_Ventricle	2.797227564530365	2.21650241529654	2.67604860960854	2.2654936667219703	2.88769928919105	2.42999180630134	2.92842212317635	2.46824168178414	7.52315101172384	2.178159466642965		2.49612265769776	2.24350747295182	2.07967717374673	2.5883849456947403	2.70362881671024	4.03339988169323	2.0544011882762803	2.0399121612702498	1.8694111126343402	1.88742010894042	2.098434422380995	2.27383004987042	2.05624258242275	2.87637905785315	2.54078097154907	2.5158196944493403	2.3704807915772355	2.2668320773848	2.5253745757491304	2.31094828912029	2.3607123736160798	3.16123740399809	3.0748467016788594
Kidney	2.56922865498787	2.1826082899802604	2.66829490200048	2.118287867522845	2.54720297109839	2.22714408920627	2.925054773350195	2.55226143449387	2.52967156802782	2.38368180663693	2.4728433409495		2.10278625207125	2.082429040758485	2.49126932285726	2.5216801906880297	4.0006905977695	2.03929941949803	2.0275388026354797	1.91125872693552	1.95105803867795	2.0636038689543748	2.11511694517097	2.17309584220649	2.5297671778667	2.37630833736278	2.39676419343588	2.295635592030475	2.2724111431203697	2.356811462718955	2.188772586479705	2.19593351463212	3.02768924091425	2.8322706003819498
Lung	2.57351234927136	2.174809828573	2.6164531578265695	2.20519298700898	2.7025432842068193	2.45005567188604	2.9135294965501406	2.53011528251171	2.5772502620133197	2.45049382598866	2.58343489180071	2.4317578928116803		2.02394779445715	2.48866296828033	2.52938194559033	3.86123814733091	2.01533630292055	2.029304633187095	1.9008857029831498	1.8225841120472699	2.0828984541620903	2.1998288418664504	2.15394601753018	2.61458357023513	2.4689268281596	2.44485537554028	2.4005432094531196	2.36728476763029	2.40811072419327	2.281984638899	2.39348929945491	2.9037433316240002	2.957215100535365
Spleen	2.5135160003856702	2.22575769056996	2.53520430243171	2.467154722049985	2.76674202809071	2.54345698972562	3.12797888200813	2.4857181589025297	2.56216434524431	2.3583690763273353	2.555307266355955	2.52826098490093	2.31513684751946		2.428212870911835	2.5994573376202452	3.66535939701681	2.1407665892379146	2.16795644892898	2.0693646831941797	1.97727547651129	2.21874491046629	2.2533627657268	2.27884954737641	2.5558541191577353	2.4776462738366005	2.5576677231730702	2.44261320815598	2.43377767285256	2.48210911156427	2.3702160380958155	2.3572021553120797	2.9675398096001055	2.86076929952431
Ovary	2.50304413316856	2.1314831621111647	2.5868659847061	2.3123484716500298	2.843812119678205	2.441751877173565	2.9979541704836405	2.844949195934875	2.65626109726386	2.699838047708125	2.6495581129982595	2.5595450293234503	2.19464633520585	2.2891734491268103		3.0535503416719	3.73013892507952	2.49738878498199	2.29424126461523	1.99121440066229	2.04884190758517	2.4401345154133502	2.55183124222659	2.600022948246965	2.848899444164025	2.8087708839675054	2.7999209836202503	2.5737951879948704	2.5015429764465598	2.55252344602179	2.4114117463217646	2.46997641049875	2.8492198342276205	2.73077851802165
Uterus	2.66256973895279	2.198692866726915	2.8427084742671953	2.549344159602985	2.9630882807131202	2.71974701023876	3.1117040745282205	2.96509599045112	2.8845861474992747	2.85638915490535	2.8425631355729597	2.6806775610869398	2.41750037857843	2.48113896399982	3.22730357244136		4.20048921306946	2.47473648758098	2.35591129833358	2.15891810632549	2.15330660787354	2.6735622795896097	2.7209016000529105	2.73114282911937	3.041884480710415	2.775216984428	2.82943505680445	2.639271148293305	2.5711169094209905	2.76092261526239	2.44335717683709	2.51191000880927	2.99925983351873	2.8974262094746797
Testis	2.4711258070629203	2.1720621853833797	2.523125466410165	2.12177164198066	2.53374245561825	2.167357130687005	2.5824369956630298	2.3390931817120997	2.41436200272142	2.2849097388259	2.4372869929959853	2.305505167614745	2.15132444026042	2.07742214722944	2.17017666788837	2.2965855770678		2.1468536476518203	2.118936895509215	2.0555252061404596	2.09066326926786	2.200209605153805	2.2025365879083347	2.2100913035225895	2.4188874079508196	2.37407722900501	2.3725531054841698	2.358205660026905	2.3141081941009354	2.39799700484255	2.26632444548696	2.30549790336188	2.72860007642188	2.6183334386542754
ASA	3.05626097965425	2.39923541723235	2.86846328888811	2.7958501366412554	3.2143239440853346	3.00794029314926	3.41950436820986	3.02940009818432	2.81050567818386	3.10503852059479	2.8840803695706003	2.8554076499106404	2.717667350166455	2.729562047713435	3.7274750481826096	3.40341929957191	4.5532604403		5.69636115356799	5.17071568533703	2.307152892326585	2.7858383374198503	4.2181364099259895	2.77103117526883	3.0798802553553903	2.97650589927903	3.0372513263951753	2.8923035338866203	2.85688471351152	2.9054137877778	2.6907835180575	2.6382422121166	3.434201205094765	3.37611165311221
ILB	2.8951152719845297	2.3829542952915497	2.89923218463179	2.661189936320985	3.08263154907745	2.73296476473029	3.29556525483589	3.0172264057009195	2.799217928273955	2.9978171756397245	2.78539540647815	2.71268673556204	2.6028173803212598	2.57589641851156	3.22378208043621	3.08294410942379	4.2990905813011	13.723972491442002			2.2183506547388	2.73291172516622	3.7183744332761903	2.7464480568932004	3.040023062899415	2.9169985134321403	2.92101430934605	2.76832517624312	2.72587840678672	2.65624701403847	2.53782357435681	2.5982860986725496	3.1815597103755504	3.20185033386072
ULB	2.8448349887193	2.29418176322953	2.80148933832916	2.5535563496925495	2.91720463268599	2.7998316616461496	3.2798954891113503	2.8619697063949596	2.7386440797677603	2.8607321510771397	2.7112663729042152	2.63938775198231	2.4547212069486553	2.5127902006803153	3.058324595131245	2.87115473510503	4.29789735910577	1.890526231063585			2.03230533935792	2.5935343592751203	2.9781922113663	2.701322203817455	2.949429695667715	2.69294131375261	2.6350660678305298	2.58202403063585	2.5813705498847703	2.560320325481295	2.3981379535469154	2.5216249768464505	3.21363171660942	3.106997006612255
