	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Right_Ventricle	2.5730582363358803	2.184550140598625	2.54927223755068	1.9987987625954151	2.62543038189399	2.0126151153611396	3.05913562483727	1.88999445314447		2.002015385988635		2.2256662481592597	2.2504098641023997	1.889122936712115	2.592563314583295	2.41318307674229	4.25219293242523	1.92599315745647	1.8601770340161898	1.8604819382148599	1.772424270083505	1.91793669936436	1.94312542744394	1.7387803747779451	2.4906564234319704	2.2425298266920897	2.361626634366335	2.37320218608247	2.33685612027607	2.35962097820193	2.343741713671915	2.3435550513983148	3.15455019343054	3.075207238121545
Kidney	2.534673080707655	2.2499871854277202	2.249469542858255	1.92910920744175	2.30027995151464	2.0154929494759397	2.69621780690662	2.25308324891166	2.47775241178012	2.23689573324857	2.43458468096215		2.1249047072864	2.13446624621748	2.34944526063745	2.284979806207125	4.15021867756641	2.070305687785175	2.12267679724457	2.1104223085594698	1.88059942541677	2.09179137843201	2.09819341664494	1.9124947063134201	2.53264313479381	2.3871033817226897	2.2352056911708997	2.380947194319325	2.336254870940945	2.3333606198220602	2.1469024212321903	2.3269472633069	3.10862895812065	2.876875153717075
Lung	2.50447055039667	2.2755014828789903	2.4476664286843697	1.882428454980115	2.4685187441882253	1.8597364057313301	2.6377560023276247	2.2026121121898505	2.3305532870392	2.21064414938905	2.42628897676685	2.170832486553865		1.8597119773628898	2.67127442228574	2.3703747891775397	4.01134528031852	1.83427198060065	1.89141200347167	1.7588565729894001	1.73367426043861	2.001328278578045	1.88605284497136	1.945194681261505	2.46256741505125	2.33789426463375	2.5419776711763102	2.46425031147443	2.3209656239097347	2.40724635721165	2.27604465334051	2.2694766383205898	2.95058592646576	3.04363980546411
Spleen	2.41243640155629	2.2450797173226804	2.403648608588045	1.983965833326645	2.807187496458165	2.5474708405866595	3.1313949770805496	2.354498561271125	2.4434156155935	2.19255339832801	2.29136245063976	2.0984591060827102	2.4566128891345898		2.4884929605345203	2.4911693790596097	3.81246191476327	2.19669628612154	2.10925946313455	2.068118636351125	2.03044703259831	2.110733202049845	2.14563321778419	2.117445368391685	2.6487848369646	2.524409774707985	2.590907411340515	2.52728898254873	2.4646365488598	2.628623425082785	2.4110525572512396	2.31651880992385	3.2003562953001854	3.0531833012678797
Ovary	2.456996345872395	2.21129740470539	2.28392839801778	2.24217499319439	2.7313614335361702	2.39961497824778	2.9166197629517097	2.7177643298902554	2.59602565601214	2.4693070406022004	2.7002269160494397	2.22696831406511	2.28366035018299	2.16130444048984		2.8458489738369597	3.76675897290502	2.24966762287061	2.04014532144835	1.9041106464162298	1.9154924879436002	2.18788102646673	2.5226838797487	2.42198235408491	2.8206366647032004	2.570771935543785	2.6770669113570698	2.53754989710023	2.39182653813501	2.538999584656595	2.21021443813974	2.43611846426192	2.959352606043825	2.807855869808655
Uterus	2.45362494481701	2.2269601964460897	2.4967341901633	2.2804979485469703	2.671006099784445	2.31446797207208	2.5262918213037797	2.72675480372954	2.65132292036427	2.44909517761638	2.62082679026615	2.44755589195352	2.425562878556745	2.404111532242765	3.17884793675623		4.126467538934506	2.21924754634	2.16573960785156	2.11194653826908	1.90533142518022	2.3235334308174704	2.41523461235884	2.13225201780296	3.0717290894060296	2.5961413357796896	2.8873558522449505	2.711696312328915	2.51633034618497	2.84665077406937	2.4440107790489702	2.59017832155502	3.15516460081245	2.8828503749838603
Testis	2.4303904287353797	2.2786877236603953	2.47176736010329	2.04127561199312	2.685565802535785	2.18217974077085	2.59909718215486	2.39547785539213	2.4793051006982902	2.2187500130265896	2.417196838000645	2.27586963261917	2.238433334092345	2.0730332596134797	2.03032490063555	2.1717860720725097		2.152420575793175	2.16710247791972	2.15377027246174	2.13752019662985	2.2658527546372853	2.3233357217256803	2.21261693807316	2.429602594546275	2.394521258857985	2.465867255589265	2.34278540354221	2.354315468548285	2.35260118632927	2.34333855620928	2.329420627139695	2.7727743842521604	2.6178859007764803
ASA	2.79516095759577	2.4717441622046947	2.56209715236622	2.50569600197091	3.1387556094323497	2.699722275137905	3.26046308836112	2.80153267743572	2.65962907683344	2.760495863465855	2.60383403758238	2.46975563432029	2.676362125398445	2.63845731865892	3.6099955786562	3.26277835353114	4.336985321338241				2.13451092958073	2.176338845141255	2.95134651816094	2.5199166840491802	2.91982930976516	2.895400738658	2.92077284205511	3.077048916097675	3.039786995320335	2.9985979238581497	2.85914121201656	2.7147945101672097	3.46570393346862	3.3935458348166296
ILB	2.72803620740171	2.41607009717692	2.6858155718089898	2.3915219618885852	3.0005419668832	2.738483526316	3.12092999772662	2.692136353571625	2.5728844279483	2.54531403185571	2.7321475663776646	2.2673504739476398	2.578114139613005	2.316678546329495	3.1372562881413	2.9591733312625803	4.266130346080709	12.440815345189801			2.227318352181845	2.1526681004815753	3.35701856746309	2.7000537837849503	3.09943213616347	2.81373564072861	2.9610184612075803	2.9220249397594698	2.8662789720755253	2.6873956656733595	2.57111090326699	2.6350914640121	3.16696502147856	3.2505434390848196
ULB	2.5475590986120698	2.39455936411459	2.60147348484939	2.2861881768358003	2.8789288225608	2.48890630469725	3.24450423245507	2.51985202202107	2.47753950956042	2.5954306420008195	2.57169835094812	2.3308633585610803	2.4598898281175052	2.19321482406286	3.1782684156856202	2.9002490183296503	4.180780096139184	2.4179593209498798			2.0574473820675303	2.1618083195362052	1.67643174428285	2.4716986954110802	2.95536684741046	2.640198526724605	2.8298431217614	2.91957326927867	2.49911181145721	2.65827328007537	2.39025450924127	2.6399202379489797	3.237496670877125	3.249302326457865
GOM	2.5709800131958946	2.31146144407873	2.41508120232	2.227655846147635	2.9162075046154903	2.5604435263112797	3.39833803561789	2.69822521560552	2.5601764028189002	2.6014390588507403	2.6597088684440897	2.368335486027055	2.586720338937635	2.30798967721056	3.3253342252987794	2.9965979140652297	4.2109369085170805	2.4929382786122596	2.20450636367884	1.9245850563687399		2.2957948494351452	3.32762520965608	2.28047992514365	2.54517762373971	2.59105360923826	2.53083334463713	2.626694866054045	2.360466349429275	2.6102599783230698	2.53242650645866	2.60079784520731	3.21412062467202	3.2077485023090695
MAD	2.705496905603665	2.311148893844085	2.53274177855645	2.2156607448843397	2.97702776632399	2.3523584660921397	3.24464853924395	2.6080421331181203	2.5756298581548998	2.6924771154722	2.59766478175615	2.44885282014794	2.4195336341838	2.3167674318392297	3.75245288341135	3.165989077967285	4.1190533527443804	2.8994846367068194	2.24143474408592	1.8237559623108799	2.4600793584799		2.5851412673538996	2.6224560987227	2.94409229832026	2.49318196171867	2.8692643284421098	2.96921940784772	2.6997032489597848	2.78002214814208	2.7201995283411	2.68268415705009	3.48057663371801	3.27164900959213
RAD	2.71814273782511	2.4314313810222004	2.6150025714542995	2.365904214345425	3.07067810425502	2.56496354983907	3.5779541271900803	2.71176679719836	2.8258127281899905	2.863856113822355	2.819520269222905	2.5542150634093552	2.60370970648647	2.4399045020284102	3.8438700614442096	3.19109556201337	4.215293180156255	2.44746393937766	2.2354018780663396	1.7377964055134099	3.02576058903979	3.3992441631345898		3.31476110053603	3.0291998519683396	2.821267229711705	3.16275782715923	3.0622769900208198	2.8184608208006496	2.9623647969015803	3.0818823979614103	2.62380554745421	3.43815948449777	3.2515563678605197
PAD	2.7413807224991804	2.280707450003	2.4393421136909503	2.25130319561802	3.021358828407075	2.44710535444689	3.21545235086742	2.2630870179091005	2.1893094916911	2.18292983022299	2.300107972649615	2.48206080976071	2.53497822258659	2.21323348338336	3.715413822606215	3.210258914524505	4.05956328485575	2.02098916446976	1.8569087652195901	1.82713869233881	2.00500216482344	1.8360485427420101	2.60201826674785		2.8199741936355798	2.432281954238	2.905393560375795	2.9628556802406605	2.574517073394885	2.767250698794985	2.65475319455475	2.6165984085748297	3.28882450634166	3.1847446482242994
LIN	2.7423339079544298	2.3779048660540703	2.41608030029265	2.04311527629305	2.7247728836080403	2.25133671760494	3.1352906387463397	3.06280186503653	2.87497594908256	2.7175977572453647	3.1025104607398597	2.622360721512	2.29850556714698	2.16837895607944	3.23309383044732	2.88205561188128	4.226944109514675	1.9486552397700398	2.032708051886635	1.851445265685525	1.907439462540585	2.086052442029385	2.43173763997603	2.1322521472600355		2.01227273968989	3.0529257392755955	2.871644773788115	2.6530597995077	2.6045052979167997	2.283687512073275	2.02021144768067	3.232928907782345	3.308177178318135
MAS	2.727637446807755	2.3163062107944503	2.4817399276069647	2.22345448459971	2.7250536511715246	2.596411101392515	3.098790240561415	2.7722660506197405	2.85685404804398	2.6363156480810046	3.101705260136635	2.314171964584765	2.61682049164801	2.20217261448809	2.90200969578604	3.036062551207105	4.056331733765605	1.86969266329569	1.90193532909426	1.82683903856526	1.9130794194096599	1.9401698356981503	2.14505988947985	2.004449083549915	2.91821764423992		3.2873976371421403	2.9066412754376154	3.4622830280155297	3.0345587708400052	3.18570690025541	2.810462121434295	3.33110043984185	3.1721368427745498
RHO	2.80716569578793	2.43864843513363	2.6544046396678302	2.26017198134147	2.9082829687594653	2.41401088841085	2.9679015943866895	2.7879109481531197	2.6358462274856698	2.60906020668614	2.6988021394025052	2.3016627240520595	2.4254271351936048	2.295087655233135	3.3196813464647996	3.081392568881035	4.21277626307244	1.71539873059482	1.762434700954735	1.6492383056232198	1.9091445179491002	1.759159648466075	2.23276565575906	2.4230480916621198	2.5974995958397598	1.9450307983026498		4.917708142042025	3.1925149859394453	2.2373145150606097	1.93509805084175	2.319301486041735	3.384743004925255	3.3708668877467396
TA	2.64661161311521	2.2660342369715547	2.6064818955842597	2.23326995502994	2.6852635735871146	2.280269017968485	2.73875109939302	2.63110732257221	2.6820529503079302	2.46718677773333	2.57657621175892	2.314139301298705	2.244482478790755	2.1985809716871003	2.7703228066165204	2.6212278570519603	4.15369270967599	1.824407290430645	1.80515108501167	1.7867090955587202	1.76122379326395	1.86065187317038	1.91470899070778	1.8651764994247901	2.7585278766373698	1.8451041902099299			3.500933166205945	3.4190725875817995	1.98909185473971	1.8103586468764	3.1862193183393046	3.1938484023754548
GAS-L	2.5834032164805	2.31821917093398	2.409954536626855	1.96679895147901	2.51165476752527	2.1316070645354452	2.66162827567906	2.41149519534583	2.3889518278106605	2.2314034994154053	2.29994483882729	2.141891227403665	2.1884617284569	2.0568744598451	2.37208134842896	2.455762223091855	3.89586793076923	1.86066938784444	1.8553602802203102	1.746360553045055	1.812303021502235	1.9289155495258798	1.971142119588115	1.91820435501803	2.0949215273488	1.844168458364625	5.62730520991619	4.50335663694959			2.24546328094932	1.82543376664388	2.874009314203465	2.95447902195115
GM	2.6996864225732593	2.22124999715149	2.63792538266846	2.0674105805065603	2.698277285832585	2.205109489018075	2.75468293824951	2.6039853303121	2.457760773254205	2.2766821998907503	2.4727147194575796	2.22470772693563	2.26127005394771	2.105645102935525	2.57512660114075	2.58623306983737	4.2028985742666904	1.9127425264827198	1.7956046325169297	1.7030061571101198	1.74508779685788	1.9131967099342297	2.11670244577559	1.9428545146996599	3.46791280633075	2.15288083066052	3.66967499250417	2.740826514406785	3.7495849640379304		1.90620772973829	1.7821518301760202	3.149523787344	3.06362580868824
PM	2.784195658761695	2.391357974843505	2.62565726761952	2.09092794099058	2.7475663049210297	2.237777993629895	2.96298334047404	2.7345041708359648	2.69006826236539	2.48659612646515	2.8263839508618798	2.40142881383585	2.36124173273135	2.11861093120351	2.90740530977318	2.71769060432129	4.10188712581763	2.01253826790361	2.0052832629459703	1.95219350530032	1.800969740416165	2.084395563706835	2.044006007746	2.07593980107395	3.55910908367418	2.69319168145127	2.345901773027715	4.942400715246845	3.28551167121107	3.51768669324113		2.879865404769705	3.11937791978595	3.1529163993947296
SOL	2.60591424698436	2.21402896050947	2.429959909464965	2.06116322054422	2.6029442024266602	2.16998367261421	2.8958750924695202	2.2355914512382298	2.40343932801223	2.3869301368339153	2.40591409344175	2.098680974995135	2.177889897899805	2.031788222770515	2.47088330775644	2.52375603506651	4.035550862256715	1.8140935223783001	1.81299144352565	1.7452065202338902	1.651246929489155	1.7585886547308898	1.9279174755815902	1.7949627857587098	2.1546855357756254	2.00446766285676	1.8573059643693952	2.470708404486455	1.43143412894986	1.86966136195619	1.8733043267098302		3.090151291878875	3.1294441142344804
PIEC	3.7739312633076296	3.4964538450140097	3.6361481681321353	3.45780369813956	3.5612946363842704	3.3723900992316698	3.6598825590233703	3.62732180306468	3.75997505783969	3.499487674654	3.61183511172018	3.61614025457384	3.52808213962955	3.40846053635342	3.5734951848195644	3.5008563036792704	5.5400078614603	3.4395865212708996	3.3351726956830197	3.3715672711198996	3.38108371410289	3.57360760838485	3.5479159628982697	3.51595892513082	3.74653131916046	3.72246753438456	3.6500959984562495	3.64482578044694	3.7017422691664947	3.640310549608225	3.61871951068675	3.584710932505935		3.61906358046298
PK15	3.8931617847654554	3.7876783597796	3.83593588993218	3.7851383708051496	3.51556257317908	3.8755244406488547	4.13432197824118	3.91130231600206	3.9066208394814597	3.91804025428557	3.8874665744820502	3.73639276757622	3.8580559920385156	3.93964841535657	3.8597322285595204	3.8533570813271405	5.764343588934235	3.8624128810639102	3.79291898526461	3.8731117579173153	3.93001990009938	4.17900554326605	4.10282496629165	3.8408686828539604	4.081050095293055	4.078225495671055	3.759148078587835	3.832707925837945	3.75165236789244	4.00924237239223	3.93174957209815	3.923239300448305	4.75886069705575	
